rank,feature,importance,importance_pct,cum_pct,IV,IV_label,corr,coverage,is_derived
138,营业利润_T2,9,0.23993601706211676,92.3220474540122,0.03819479628952499,弱,-0.0019366451831471765,85.51779935275081,
139,总分_斜率,9,0.23993601706211676,92.56198347107433,0.021792304908343062,弱,-0.02291163165212805,96.35922330097088,
140,NOPAT_3年斜率,8,0.21327645961077046,92.7752599306851,0.080286644016648,弱,-0.02096750753352995,85.51779935275081,
141,行业区间收益_60d,8,0.21327645961077046,92.98853639029586,0.06787963681249348,弱,0.09481999606967219,99.02912621359224,
142,净利润_fcf_YoY,8,0.21327645961077046,93.20181284990663,0.04342090979810431,弱,0.03056951099151852,85.51779935275081,🆕
143,行业总天数,8,0.21327645961077046,93.4150893095174,0.043077868247666094,弱,-0.018236880276172745,99.02912621359224,
144,总分_delta_2y,8,0.21327645961077046,93.62836576912817,0.04288739940541422,弱,0.08531647383402305,96.35922330097088,🆕
145,FCF_3年斜率,8,0.21327645961077046,93.84164222873893,0.03995176902831518,弱,0.00010089496452438465,85.51779935275081,
146,净利润_fcf_T2,7,0.18661690215942417,94.02825913089836,0.044866430657560505,弱,0.010323226441458729,85.51779935275081,
147,净利润_fcf_T3,7,0.18661690215942417,94.21487603305779,0.023033979209080003,弱,0.007220887533868793,85.43689320388349,
148,营业利润_CAGR2,7,0.18661690215942417,94.40149293521722,0.07672109328041375,弱,-0.08581329935127135,71.03559870550163,🆕
149,行业级别,7,0.18661690215942417,94.58810983737665,0.03408325045764234,弱,-0.03143794855128609,99.02912621359224,
150,净利润_fcf_T,7,0.18661690215942417,94.77472673953608,0.03376825804203513,弱,0.01776061381864261,85.51779935275081,
151,NOPAT_margin,7,0.18661690215942417,94.9613436416955,0.031012929976614888,弱,-0.057802435236377736,85.51779935275081,🆕
152,行业MA60,7,0.18661690215942417,95.14796054385494,0.04962208354679747,弱,-0.043166075719066284,99.02912621359224,
153,净利润_fcf_加速,7,0.18661690215942417,95.33457744601436,0.019376613770351877,极弱,0.04664064100681467,85.51779935275081,🆕
154,行业PE_250d增长,7,0.18661690215942417,95.5211943481738,0.020763966907330605,弱,-0.06990537205170766,25.64724919093851,🆕
155,PB_vs_同行中位,6,0.15995734470807785,95.68115169288187,0.09659262990537827,弱,-0.04971805901985793,98.38187702265373,🆕
156,成长能力_T-3,6,0.15995734470807785,95.84110903758994,0.006532071836575798,极弱,0.008554618559283526,96.35922330097088,
157,成长能力_斜率,6,0.15995734470807785,96.00106638229802,0.019744734325752016,极弱,-0.03044427786014821,96.35922330097088,
158,NOPAT_T4,6,0.15995734470807785,96.1610237270061,0.10118196238970682,中等,-0.001852811161234061,85.19417475728154,
159,营业利润_T3,6,0.15995734470807785,96.32098107171417,0.0280506722439784,弱,-0.009380316124832755,85.43689320388349,
160,行业区间收益_120d,6,0.15995734470807785,96.48093841642225,0.03210781894425241,弱,0.05360767144693335,99.02912621359224,
161,行业波动率_总,6,0.15995734470807785,96.64089576113032,0.050838837976022365,弱,0.03800267493902253,99.02912621359224,
162,营收_T3,6,0.15995734470807785,96.8008531058384,0.021559520190162912,弱,-0.023580787159762483,85.43689320388349,
163,折旧_T2,6,0.15995734470807785,96.96081045054648,0.04159673716885586,弱,0.011442902853065262,85.51779935275081,
164,行业胜率_20d,5,0.13329778725673155,97.09410823780321,0.031346412381501695,弱,0.0767809765578353,99.02912621359224,
165,子场景通过数,5,0.13329778725673155,97.22740602505995,0.0019052653222957846,极弱,0.0023393859189543634,100.0,
166,溢价率上限_excel,5,0.13329778725673155,97.36070381231669,0.011819232542616142,极弱,0.05107679827338688,84.78964401294499,
167,MA20,5,0.13329778725673155,97.49400159957342,0.1429633515427481,中等,-0.09841353925749416,99.67637540453075,
